reaction_id,max,min,mean,final
BJHIKXHVCXFQLS-XLYOFNOQVPJJNP_to_MNQZXJOMYWMBOU-XLYOFNOQVPJJNP-YTXCQYABGWUXFL,0.007695076964826053,-1.8918834682875236e-17,2.0182393108753498e-06,4.033999218963442e-28
BNFCVHNGQJGIIA-XLYOFNOQVPJJNP_to_BXMMDTDOWCVDIM-XLYOFNOQVPJJNP,0.0,0.0,0.0,0.0
BXMMDTDOWCVDIM-XLYOFNOQVPJJNP_to_RNWIJLZQJSGBCU-WGCNASOHLSPBMP-XLYOFNOQVPJJNP-XLYOFNOQVPJJNP,0.0,0.0,0.0,0.0
CDCKCSRWIDFXIZ-XLYOFNOQVPJJNP_to_BNFCVHNGQJGIIA-XLYOFNOQVPJJNP-XLYOFNOQVPJJNP,0.0,0.0,0.0,0.0
GZCGUPFRVQAUEE_to_BJHIKXHVCXFQLS,0.0,0.0,0.0,0.0
GZCGUPFRVQAUEE-XLYOFNOQVPJJNP_to_CDCKCSRWIDFXIZ-XLYOFNOQVPJJNP,0.0,0.0,0.0,0.0
JMCRDEBJJPRTPV-XLYOFNOQVPJJNP_to_WGCNASOHLSPBMP-XLYOFNOQVPJJNP,0.0,0.0,0.0,0.0
MNQZXJOMYWMBOU-XLYOFNOQVPJJNP_to_RXKJFZQQPQGTFL-XLYOFNOQVPJJNP,0.0,0.0,0.0,0.0
MNQZXJOMYWMBOU_to_JMCRDEBJJPRTPV-WSFSSNUMVMOOMR,0.0,0.0,0.0,0.0
WQZGKKKJIJFFOK-XLYOFNOQVPJJNP_to_GZCGUPFRVQAUEE-XLYOFNOQVPJJNP,0.0,0.0,0.0,0.0
