species,max,min,mean,final
C=O,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0
O/C=C(/O)CO,0.007695076964826053,-1.8918834682875236e-17,2.0182393108753498e-06,4.033999218963442e-28
O/C=C(/O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.0,0.0,0.0,0.0
O/C=C(\O)[C@@H](O)[C@@H](O)[C@@H](O)CO,0.0,0.0,0.0,0.0
O/C=C\O,0.0,0.0,0.0,0.0
O=C(CO)CO,0.0,0.0,0.0,0.0
O=C(CO)[C@@H](O)[C@@H](O)[C@@H](O)CO,1.8918834682875236e-17,-0.007695076964826053,-2.0182393108753498e-06,-4.033999218963442e-28
O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO,0.0,0.0,0.0,0.0
O=C/C(O)=C/[C@@H](O)[C@@H](O)CO,0.0,0.0,0.0,0.0
O=C/C(O)=C\[C@H](O)[C@H](O)CO,0.0,0.0,0.0,0.0
O=CCO,0.0,0.0,0.0,0.0
O=C[C@@H](O)CO,0.007695076964826053,-1.8918834682875236e-17,2.0182393108753498e-06,4.033999218963442e-28
O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO,0.0,0.0,0.0,0.0
O=C[C@H](O)CO,0.0,0.0,0.0,0.0
O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,0.0,0.0,0.0,0.0
OC[C@@H](O)[C@@H]1C=C(O)[C@H](O)O1,0.0,0.0,0.0,0.0
OC[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,0.0,0.0,0.0,0.0
Oc1ccoc1,0.0,0.0,0.0,0.0
[H],0.0,0.0,0.0,0.0
[H][H],0.0,0.0,0.0,0.0
