Well folks, looks like we have 37 reactions on our hands
+-------------------------------------------------+----------+-----------------------+--------------------+
|                   Reaction ID                   | Reactant |        Product        |    EGAT barrier    |
+-------------------------------------------------+----------+-----------------------+--------------------+
|        XSASRUDTFFBDDK_to_PLXVTJBBUQBDRQ         | O=CCCOO  |       OOCC1CO1        |  88.3519515991211  |
|        XSASRUDTFFBDDK_to_LZBZEBHQVXRLLN         | O=CCCOO  |        C=COCOO        |  84.3137435913086  |
|        XSASRUDTFFBDDK_to_LSIGHSKIPNHVEN         | O=CCCOO  |       CC(=O)COO       | 103.42616271972656 |
| XSASRUDTFFBDDK_to_CCGKOQOJPYTBIH-MEUKEBNAABNAEX | O=CCCOO  |       C=C=O.COO       | 90.69873809814453  |
| XSASRUDTFFBDDK_to_WGCNASOHLSPBMP-WSFSSNUMVMOOMR | O=CCCOO  |       C=O.O=CCO       |    72.10546875     |
|        XSASRUDTFFBDDK_to_MQZTXKZTLDDYNK         | O=CCCOO  |        O=CCOCO        | 64.47501373291016  |
| XSASRUDTFFBDDK_to_ASQQEOXYFGEFKQ-IKHGUXGNUITLKF | O=CCCOO  |      C1OO1.CC=O       | 77.75397491455078  |
|        XSASRUDTFFBDDK_to_QWFOJYBHKFALKR         | O=CCCOO  |        COOCC=O        |   107.6162109375   |
| XSASRUDTFFBDDK_to_SCKXCAADGDQQCS-VGGSQFUCUMXWEO | O=CCCOO  |       C=C.O=COO       | 57.09778594970703  |
| XSASRUDTFFBDDK_to_HGINCPLSRVDWNT-MHAJPDPJQMAIIY | O=CCCOO  |       C=CC=O.OO       | 53.12726974487305  |
|        XSASRUDTFFBDDK_to_UTLVMFCPERHVKU         | O=CCCOO  |     C[C@H](C=O)OO     |  87.2101058959961  |
|        XSASRUDTFFBDDK_to_UVXJOOHEDLXZGH         | O=CCCOO  |       OOOC1CC1        |  99.1372299194336  |
|        XSASRUDTFFBDDK_to_JQQGJTHDBODIPT         | O=CCCOO  |       OOC1CCO1        |  75.4463882446289  |
| XSASRUDTFFBDDK_to_MHAJPDPJQMAIIY-VBBRYJMZLIYUJQ | O=CCCOO  |      O=C1CC1.OO       |  86.2401123046875  |
|        XSASRUDTFFBDDK_to_CZPZWMPYEINMCF         | O=CCCOO  |       CCC(=O)OO       | 81.45484161376953  |
| XSASRUDTFFBDDK_to_MYMOFIZGZYHOMD-NBBJYMSMWIIQGU | O=CCCOO  |       CCC=O.O=O       | 88.62409210205078  |
| XSASRUDTFFBDDK_to_IEZWOVIWXFLQTP-WSFSSNUMVMOOMR | O=CCCOO  |       C=COO.C=O       | 72.98025512695312  |
| XSASRUDTFFBDDK_to_SAFQYXYVTVQFLR-UFHFLCQGNIYNRP | O=CCCOO  |   O=C/C=C/OO.[H][H]   | 122.54642486572266 |
|        XSASRUDTFFBDDK_to_YKZHDJKJFXCGCU         | O=CCCOO  |     OO[C@H]1CC1O      |  97.6224365234375  |
| XSASRUDTFFBDDK_to_KLARBAOWTNKAMX-UFHFLCQGNIYNRP | O=CCCOO  | O=C1C[C@@H]1OO.[H][H] | 102.1546859741211  |
| XSASRUDTFFBDDK_to_WSMYVTOQOOLQHP-XLYOFNOQVPJJNP | O=CCCOO  |       O.O=CCC=O       | 51.57850646972656  |
|        XSASRUDTFFBDDK_to_RGNLCYKNGPYALI         | O=CCCOO  |       O=CCC(O)O       | 66.68606567382812  |
| XSASRUDTFFBDDK_to_NUZFBZRITSUKTP-UFHFLCQGNIYNRP | O=CCCOO  |   O=CCC1OO1.[H][H]    | 66.66397094726562  |
| XSASRUDTFFBDDK_to_BDAGIHXWWSANSR-IAYPIBMASNFSPL | O=CCCOO  |      C1CO1.O=CO       |  70.6568374633789  |
|        XSASRUDTFFBDDK_to_UKQJDWBNQNAJHB         | O=CCCOO  |        O=COCCO        |  73.374755859375   |
| XSASRUDTFFBDDK_to_BVTJGGGYKAMDBN-WSFSSNUMVMOOMR | O=CCCOO  |      C1COO1.C=O       |  84.5655746459961  |
|        XSASRUDTFFBDDK_to_COYCHYMPNMUQTC         | O=CCCOO  |        CCOOC=O        | 65.36923217773438  |
|        XSASRUDTFFBDDK_to_MFKZDADVASPENT         | O=CCCOO  |       O/C=C/COO       | 67.73641967773438  |
| XSASRUDTFFBDDK_to_NTKXXOVKNHRVFH-UFHFLCQGNIYNRP | O=CCCOO  |    O=C=CCOO.[H][H]    | 74.03746032714844  |
| XSASRUDTFFBDDK_to_IWYRWIUNAVNFPE-XLYOFNOQVPJJNP | O=CCCOO  |    O.O=C[C@H]1CO1     | 60.04733657836914  |
|        XSASRUDTFFBDDK_to_MNQZXJOMYWMBOU         | O=CCCOO  |     O=C[C@H](O)CO     | 66.75702667236328  |
| XSASRUDTFFBDDK_to_SEWVJHXWGVGQLV-UFHFLCQGNIYNRP | O=CCCOO  | O=C[C@H]1COO1.[H][H]  |  96.5738525390625  |
|        XSASRUDTFFBDDK_to_KYKDRUWGNWYQSD         | O=CCCOO  |       OC1CCOO1        | 74.03573608398438  |
|        XSASRUDTFFBDDK_to_KQBSGRWMSNFIPG         | O=CCCOO  |       C1COOOC1        | 86.67922973632812  |
| XSASRUDTFFBDDK_to_VEZXCJBBBCKRPI-XLYOFNOQVPJJNP | O=CCCOO  |      O.O=C1CCO1       | 61.13621520996094  |
|        XSASRUDTFFBDDK_to_ALRHLSYJTWAHJZ         | O=CCCOO  |       O=C(O)CCO       | 60.34493637084961  |
| XSASRUDTFFBDDK_to_PHILMFQVUWCHOQ-UFHFLCQGNIYNRP | O=CCCOO  |   O=C1CCOO1.[H][H]    | 58.12763214111328  |
+-------------------------------------------------+----------+-----------------------+--------------------+
