Well folks, looks like we have 539 reactions on our hands
+-------------------------------------------------+---------------+-----------------------------+--------------------+
|                   Reaction ID                   |   Reactant    |           Product           |    EGAT barrier    |
+-------------------------------------------------+---------------+-----------------------------+--------------------+
| XSASRUDTFFBDDK_to_WGCNASOHLSPBMP-WSFSSNUMVMOOMR |    O=CCCOO    |          C=O.O=CCO          |    72.10546875     |
|        XSASRUDTFFBDDK_to_MQZTXKZTLDDYNK         |    O=CCCOO    |           O=CCOCO           | 64.47501373291016  |
| XSASRUDTFFBDDK_to_ASQQEOXYFGEFKQ-IKHGUXGNUITLKF |    O=CCCOO    |         C1OO1.CC=O          | 77.75397491455078  |
| XSASRUDTFFBDDK_to_SCKXCAADGDQQCS-VGGSQFUCUMXWEO |    O=CCCOO    |          C=C.O=COO          | 57.09778594970703  |
| XSASRUDTFFBDDK_to_HGINCPLSRVDWNT-MHAJPDPJQMAIIY |    O=CCCOO    |          C=CC=O.OO          | 53.12726974487305  |
|        XSASRUDTFFBDDK_to_JQQGJTHDBODIPT         |    O=CCCOO    |          OOC1CCO1           |  75.4463882446289  |
| XSASRUDTFFBDDK_to_IEZWOVIWXFLQTP-WSFSSNUMVMOOMR |    O=CCCOO    |          C=COO.C=O          | 72.98025512695312  |
| XSASRUDTFFBDDK_to_WSMYVTOQOOLQHP-XLYOFNOQVPJJNP |    O=CCCOO    |          O.O=CCC=O          | 51.57850646972656  |
|        XSASRUDTFFBDDK_to_RGNLCYKNGPYALI         |    O=CCCOO    |          O=CCC(O)O          | 66.68606567382812  |
| XSASRUDTFFBDDK_to_NUZFBZRITSUKTP-UFHFLCQGNIYNRP |    O=CCCOO    |      O=CCC1OO1.[H][H]       | 66.66397094726562  |
| XSASRUDTFFBDDK_to_BDAGIHXWWSANSR-IAYPIBMASNFSPL |    O=CCCOO    |         C1CO1.O=CO          |  70.6568374633789  |
|        XSASRUDTFFBDDK_to_UKQJDWBNQNAJHB         |    O=CCCOO    |           O=COCCO           |  73.374755859375   |
|        XSASRUDTFFBDDK_to_COYCHYMPNMUQTC         |    O=CCCOO    |           CCOOC=O           | 65.36923217773438  |
|        XSASRUDTFFBDDK_to_MFKZDADVASPENT         |    O=CCCOO    |          O/C=C/COO          | 67.73641967773438  |
| XSASRUDTFFBDDK_to_NTKXXOVKNHRVFH-UFHFLCQGNIYNRP |    O=CCCOO    |       O=C=CCOO.[H][H]       | 74.03746032714844  |
| XSASRUDTFFBDDK_to_IWYRWIUNAVNFPE-XLYOFNOQVPJJNP |    O=CCCOO    |       O.O=C[C@H]1CO1        | 60.04733657836914  |
|        XSASRUDTFFBDDK_to_MNQZXJOMYWMBOU         |    O=CCCOO    |        O=C[C@H](O)CO        | 66.75702667236328  |
|        XSASRUDTFFBDDK_to_KYKDRUWGNWYQSD         |    O=CCCOO    |          OC1CCOO1           | 74.03573608398438  |
| XSASRUDTFFBDDK_to_VEZXCJBBBCKRPI-XLYOFNOQVPJJNP |    O=CCCOO    |         O.O=C1CCO1          | 61.13621520996094  |
|        XSASRUDTFFBDDK_to_ALRHLSYJTWAHJZ         |    O=CCCOO    |          O=C(O)CCO          | 60.34493637084961  |
| XSASRUDTFFBDDK_to_PHILMFQVUWCHOQ-UFHFLCQGNIYNRP |    O=CCCOO    |      O=C1CCOO1.[H][H]       | 58.12763214111328  |
| WGCNASOHLSPBMP_to_WSFSSNUMVMOOMR-WSFSSNUMVMOOMR |     O=CCO     |           C=O.C=O           | 95.00933837890625  |
|        WGCNASOHLSPBMP_to_TZIHFWKZFHZASV         |     O=CCO     |            COC=O            | 119.04434204101562 |
|        WGCNASOHLSPBMP_to_IEZWOVIWXFLQTP         |     O=CCO     |            C=COO            | 97.13385772705078  |
|        WGCNASOHLSPBMP_to_DOAMZWOPDPPKJS         |     O=CCO     |           OC1CO1            | 73.41398620605469  |
| WGCNASOHLSPBMP_to_CCGKOQOJPYTBIH-XLYOFNOQVPJJNP |     O=CCO     |           C=C=O.O           |  80.7259292602539  |
|        WGCNASOHLSPBMP_to_QTBSBXVTEAMEQO         |     O=CCO     |           CC(=O)O           | 86.41400909423828  |
|        WGCNASOHLSPBMP_to_JMCRDEBJJPRTPV         |     O=CCO     |           O/C=C/O           | 71.50653076171875  |
| WGCNASOHLSPBMP_to_UFHFLCQGNIYNRP-WVKOKNQPFFEMSR |     O=CCO     |        O=C=CO.[H][H]        |  75.237060546875   |
| WGCNASOHLSPBMP_to_LEQAOMBKQFMDFZ-UFHFLCQGNIYNRP |     O=CCO     |        O=CC=O.[H][H]        | 99.29496765136719  |
|        WGCNASOHLSPBMP_to_BVTJGGGYKAMDBN         |     O=CCO     |           C1COO1            | 126.59050750732422 |
| WGCNASOHLSPBMP_to_HZSIFDFXFAXICF-UFHFLCQGNIYNRP |     O=CCO     |       O=C1CO1.[H][H]        | 67.40081024169922  |
|        MQZTXKZTLDDYNK_to_UKQJDWBNQNAJHB         |    O=CCOCO    |           O=COCCO           | 99.93801879882812  |
| MQZTXKZTLDDYNK_to_WGCNASOHLSPBMP-WSFSSNUMVMOOMR |    O=CCOCO    |          C=O.O=CCO          | 84.08123779296875  |
|        MQZTXKZTLDDYNK_to_MNQZXJOMYWMBOU         |    O=CCOCO    |        O=C[C@H](O)CO        | 112.15462493896484 |
| MQZTXKZTLDDYNK_to_LEQAOMBKQFMDFZ-OKKJLVBELUTLKV |    O=CCOCO    |          CO.O=CC=O          | 91.10809326171875  |
|        MQZTXKZTLDDYNK_to_BFPUSHWBRPMZFN         |    O=CCOCO    |          OCC1COO1           | 125.77583312988281 |
|        MQZTXKZTLDDYNK_to_OCSVNKWAJGSUKI         |    O=CCOCO    |          OCOC1CO1           | 69.10700988769531  |
|        MQZTXKZTLDDYNK_to_RXKJFZQQPQGTFL         |    O=CCOCO    |          O=C(CO)CO          | 84.32479095458984  |
| MQZTXKZTLDDYNK_to_HZSIFDFXFAXICF-OKKJLVBELUTLKV |    O=CCOCO    |         CO.O=C1CO1          | 67.86087036132812  |
|        MQZTXKZTLDDYNK_to_QWFOJYBHKFALKR         |    O=CCOCO    |           COOCC=O           | 119.28599548339844 |
| MQZTXKZTLDDYNK_to_BDAGIHXWWSANSR-IAYPIBMASNFSPL |    O=CCOCO    |         C1CO1.O=CO          | 84.77967834472656  |
|        MQZTXKZTLDDYNK_to_XSASRUDTFFBDDK         |    O=CCOCO    |           O=CCCOO           | 113.05998992919922 |
| MQZTXKZTLDDYNK_to_IWYRWIUNAVNFPE-XLYOFNOQVPJJNP |    O=CCOCO    |       O.O=C[C@H]1CO1        | 74.02664184570312  |
|        MQZTXKZTLDDYNK_to_XKRYVGDYTMIZST         |    O=CCOCO    |       CO[C@@H](O)C=O        | 93.25240325927734  |
|        MQZTXKZTLDDYNK_to_WVFPEXSMTPRZJP         |    O=CCOCO    |          OOC1COC1           | 123.81025695800781 |
|        MQZTXKZTLDDYNK_to_TWGSXTJXQLNWNP         |    O=CCOCO    |          OC1COCO1           | 70.35144805908203  |
| MQZTXKZTLDDYNK_to_ROADCYAOHVSOLQ-XLYOFNOQVPJJNP |    O=CCOCO    |         O.O=C1COC1          | 97.73274993896484  |
|        MQZTXKZTLDDYNK_to_RMIODHQZRUFFFF         |    O=CCOCO    |          COCC(=O)O          |  73.3479232788086  |
| MQZTXKZTLDDYNK_to_DOAMZWOPDPPKJS-WSFSSNUMVMOOMR |    O=CCOCO    |       C=O.O[C@@H]1CO1       | 78.13905334472656  |
|        MQZTXKZTLDDYNK_to_RGNLCYKNGPYALI         |    O=CCOCO    |          O=CCC(O)O          | 122.53805541992188 |
| MQZTXKZTLDDYNK_to_BDAGIHXWWSANSR-IKHGUXGNUITLKF |    O=CCOCO    |          CC=O.O=CO          | 84.32772064208984  |
| MQZTXKZTLDDYNK_to_UFHFLCQGNIYNRP-URQJYCMMYPTYSF |    O=CCOCO    | O=C[C@@H]1O[C@@H]1O.[H][H]  | 84.57026672363281  |
|        MQZTXKZTLDDYNK_to_SUCKNXAQIMPMOC         |    O=CCOCO    |        OC1CO[C@@H]1O        |  84.3860092163086  |
|        MQZTXKZTLDDYNK_to_VOZDABZCYIIVTM         |    O=CCOCO    |          OC1OCCO1           | 86.80941772460938  |
| MQZTXKZTLDDYNK_to_LTRRBWARIDHOMC-UFHFLCQGNIYNRP |    O=CCOCO    |    O=C1CO[C@@H]1O.[H][H]    | 99.33690643310547  |
| MQZTXKZTLDDYNK_to_MFRMAQFRVTUENW-UFHFLCQGNIYNRP |    O=CCOCO    |       O=CCOC=O.[H][H]       | 79.71134185791016  |
| MQZTXKZTLDDYNK_to_GFAJOMHUNNCCJQ-WSFSSNUMVMOOMR |    O=CCOCO    |         C1OCO1.C=O          | 94.00358581542969  |
|        MQZTXKZTLDDYNK_to_VKWJMTLAAJULGF         |    O=CCOCO    |           COCOC=O           | 65.15055847167969  |
|        MQZTXKZTLDDYNK_to_KQBGNBDMOJYJAO         |    O=CCOCO    |           C=COOCO           | 89.04329681396484  |
| MQZTXKZTLDDYNK_to_CCGKOQOJPYTBIH-CKFGINPQOCXMAZ |    O=CCOCO    |          C=C=O.OCO          |  78.6795425415039  |
|        MQZTXKZTLDDYNK_to_JYVNDCLJHKQUHE         |    O=CCOCO    |          CC(=O)OCO          |  82.641845703125   |
| MQZTXKZTLDDYNK_to_ASQQEOXYFGEFKQ-IKHGUXGNUITLKF |    O=CCOCO    |         C1OO1.CC=O          | 93.88046264648438  |
|        MQZTXKZTLDDYNK_to_PHMDMSMEYYVXLZ         |    O=CCOCO    |          O/C=C/OCO          | 67.57176971435547  |
| MQZTXKZTLDDYNK_to_JCTHKUNMWCUDLH-UFHFLCQGNIYNRP |    O=CCOCO    |       O=C=COCO.[H][H]       |  75.0328140258789  |
| MQZTXKZTLDDYNK_to_RBNCVQJDGSQYET-UFHFLCQGNIYNRP |    O=CCOCO    |      O=CC1OCO1.[H][H]       |  97.8421630859375  |
|        MQZTXKZTLDDYNK_to_FQERLIOIVXPZKH         |    O=CCOCO    |          C1COOCO1           | 111.47360229492188 |
| MQZTXKZTLDDYNK_to_GZTMCZAOQTVOJK-UFHFLCQGNIYNRP |    O=CCOCO    |      O=C1COCO1.[H][H]       | 69.82467651367188  |
|        ASQQEOXYFGEFKQ_to_BDAGIHXWWSANSR         |     C1OO1     |            O=CO             | 44.735965728759766 |
|        IKHGUXGNUITLKF_to_IMROMDMJAWUWLK         |     CC=O      |            C=CO             | 69.39720153808594  |
|        IKHGUXGNUITLKF_to_IAYPIBMASNFSPL         |     CC=O      |            C1CO1            | 92.20793914794922  |
| IKHGUXGNUITLKF_to_CCGKOQOJPYTBIH-UFHFLCQGNIYNRP |     CC=O      |        C=C=O.[H][H]         | 78.01516723632812  |
| VGGSQFUCUMXWEO_to_HSFWRNGVRCDJHI-UFHFLCQGNIYNRP |      C=C      |         C#C.[H][H]          | 123.29019927978516 |
| SCKXCAADGDQQCS_to_MYMOFIZGZYHOMD-WSFSSNUMVMOOMR |     O=COO     |           C=O.O=O           | 100.80813598632812 |
|        SCKXCAADGDQQCS_to_CVTVRXGPXQVJAU         |     O=COO     |           OC1OO1            | 66.35730743408203  |
|        SCKXCAADGDQQCS_to_BJMSRZLVEVUDIK         |     O=COO     |           C1OOO1            | 92.33403778076172  |
