Well folks, I've got 19 reactions from 3HP_depth1.pkl
And here they are!
+--------------------+----------+-----------------+---------------------------------+---------------------------------+---------------------------+
|   Reaction Hash    | Reactant |     Product     | egat_rgd1 forward dG_activation | egat_rgd1 reverse dG_activation | egat_rgd1 reaction dG_RXN |
+--------------------+----------+-----------------+---------------------------------+---------------------------------+---------------------------+
| 2072064.974221364  |  O=CCOO  |    C=O.O=CO     |             43.482              |              96.96              |          53.478           |
| 2435508.2699327855 |  O=CCOO  |     O=COCO      |             52.519              |             114.55              |          62.034           |
| 2415605.9261953793 |  O=CCOO  |    C1OO1.C=O    |             76.616              |             40.438              |          -36.179          |
| 2395214.3978448925 |  O=CCOO  |     COOC=O      |             68.749              |             75.956              |          7.2075           |
| 2596760.3707471034 |  O=CCOO  |     C=COOO      |             73.337              |             15.627              |          -57.71           |
| 2899373.0066312575 |  O=CCOO  |     OOC1CO1     |             71.499              |             50.359              |          -21.14           |
| 2212843.919711775  |  O=CCOO  |    C=C=O.OO     |             71.876              |             53.635              |          -18.241          |
| 2455167.9764962974 |  O=CCOO  |    CC(=O)OO     |             79.147              |              110.1              |           30.95           |
| 2069910.6282797283 |  O=CCOO  |    CC=O.O=O     |             89.487              |             53.639              |          -35.848          |
| 2616810.498100545  |  O=CCOO  |    O/C=C\OO     |             68.864              |             57.472              |          -11.392          |
| 2254259.8477397324 |  O=CCOO  | O=C=COO.[H][H]  |             80.651              |             42.214              |          -38.437          |
| 2112082.905124765  |  O=CCOO  |    O.O=CC=O     |             46.366              |             99.534              |          53.168           |
| 2515797.8577118726 |  O=CCOO  |    O=CC(O)O     |             67.974              |             128.59              |          60.615           |
| 2537310.875147058  |  O=CCOO  | O=CC1OO1.[H][H] |             72.851              |              37.28              |          -35.57           |
| 2899368.4867536672 |  O=CCOO  |     OC1COO1     |             77.644              |             57.286              |          -20.359          |
| 2858907.921511296  |  O=CCOO  |     C1COOO1     |             87.681              |              47.28              |           -40.4           |
| 2495630.464648757  |  O=CCOO  |    O.O=C1CO1    |              54.91              |             110.88              |          55.973           |
| 2495472.844473039  |  O=CCOO  |    O=C(O)CO     |             63.194              |             141.77              |          78.573           |
| 2516961.939590296  |  O=CCOO  | O=C1COO1.[H][H] |             67.697              |             52.224              |          -15.473          |
+--------------------+----------+-----------------+---------------------------------+---------------------------------+---------------------------+
