Well folks, I've got 47 reactions from 3HP_depth2.pkl
And here they are!
+--------------------+----------+----------------------+---------------------------------+---------------------------------+---------------------------+
|   Reaction Hash    | Reactant |       Product        | egat_rgd1 forward dG_activation | egat_rgd1 reverse dG_activation | egat_rgd1 reaction dG_RXN |
+--------------------+----------+----------------------+---------------------------------+---------------------------------+---------------------------+
| 2072064.974221364  |  O=CCOO  |       C=O.O=CO       |             43.482              |              96.96              |          53.478           |
| 2435508.2699327855 |  O=CCOO  |        O=COCO        |             52.519              |             114.55              |          62.034           |
| 2415605.9261953793 |  O=CCOO  |      C1OO1.C=O       |             76.616              |             40.438              |          -36.179          |
| 2395214.3978448925 |  O=CCOO  |        COOC=O        |             68.749              |             75.956              |          7.2075           |
| 2596760.3707471034 |  O=CCOO  |        C=COOO        |             73.337              |             15.627              |          -57.71           |
| 2899373.0066312575 |  O=CCOO  |       OOC1CO1        |             71.499              |             50.359              |          -21.14           |
| 2212843.919711775  |  O=CCOO  |       C=C=O.OO       |             71.876              |             53.635              |          -18.241          |
| 2455167.9764962974 |  O=CCOO  |       CC(=O)OO       |             79.147              |              110.1              |           30.95           |
| 2069910.6282797283 |  O=CCOO  |       CC=O.O=O       |             89.487              |             53.639              |          -35.848          |
| 2616810.498100545  |  O=CCOO  |       O/C=C\OO       |             68.864              |             57.472              |          -11.392          |
| 2254259.8477397324 |  O=CCOO  |    O=C=COO.[H][H]    |             80.651              |             42.214              |          -38.437          |
| 2112082.905124765  |  O=CCOO  |       O.O=CC=O       |             46.366              |             99.534              |          53.168           |
| 2515797.8577118726 |  O=CCOO  |       O=CC(O)O       |             67.974              |             128.59              |          60.615           |
| 2537310.875147058  |  O=CCOO  |   O=CC1OO1.[H][H]    |             72.851              |              37.28              |          -35.57           |
| 2899368.4867536672 |  O=CCOO  |       OC1COO1        |             77.644              |             57.286              |          -20.359          |
| 2858907.921511296  |  O=CCOO  |       C1COOO1        |             87.681              |              47.28              |           -40.4           |
| 2495630.464648757  |  O=CCOO  |      O.O=C1CO1       |              54.91              |             110.88              |          55.973           |
| 2495472.844473039  |  O=CCOO  |       O=C(O)CO       |             63.194              |             141.77              |          78.573           |
| 2516961.939590296  |  O=CCOO  |   O=C1COO1.[H][H]    |             67.697              |             52.224              |          -15.473          |
| 1442549.9398399787 |   O=CO   |        C1OO1         |             119.77              |             43.957              |          -75.814          |
|  816367.055905112  |   O=CO   |     O=C=O.[H][H]     |             67.759              |             67.413              |         -0.34608          |
| 2859458.7516184035 |  O=COCO  |       OCC1OO1        |             119.09              |              43.16              |          -75.933          |
| 2455572.678541275  |  O=COCO  |       O=C(O)CO       |             100.72              |             117.18              |          16.457           |
| 2051220.5911341975 |  O=COCO  |       CO.O=C=O       |             57.305              |             78.114              |          20.809           |
| 2032162.851325208  |  O=COCO  |       C=O.O=CO       |             45.879              |             31.305              |          -14.575          |
| 2355314.231913129  |  O=COCO  |        COOC=O        |             133.44              |             80.507              |          -52.936          |
| 2435511.4735848145 |  O=COCO  |        O=CCOO        |             114.55              |             52.519              |          -62.034          |
| 2859475.6031388175 |  O=COCO  |     OO[C@@H]1CO1     |             127.91              |             42.065              |          -85.85           |
| 2779624.8086226354 |  O=COCO  |       OC1OCO1        |             68.949              |             62.056              |          -6.8934          |
| 2455730.6992265717 |  O=COCO  |      O.O=C1CO1       |             85.085              |             55.068              |          -30.016          |
| 2375365.6293780757 |  O=COCO  |       COC(=O)O       |             87.365              |             94.354              |          6.9889           |
| 2475898.092289687  |  O=COCO  |       O=CC(O)O       |             106.73              |             109.85              |          3.1237           |
| 2899912.870352445  |  O=COCO  |   O[C@H]1O[C@@H]1O   |             81.752              |             50.124              |          -31.628          |
| 2517477.8742672326 |  O=COCO  | O=C1O[C@@H]1O.[H][H] |             90.065              |             52.644              |          -37.421          |
| 2073523.5209730582 |  O=COCO  |    O=COC=O.[H][H]    |             88.387              |             71.522              |          -16.866          |
| 2375706.160773194  |  O=COCO  |      C1OO1.C=O       |             117.73              |             36.855              |          -80.871          |
| 2739207.8376595965 |  O=COCO  |       C1OCOO1        |              124.2              |              47.74              |          -76.462          |
| 2437149.308543196  |  O=COCO  |   O=C1OCO1.[H][H]    |             82.344              |             70.139              |          -12.205          |
| 1766693.1294352238 |  O=CC=O  |        c1coo1        |             86.974              |             12.322              |          -74.651          |
| 2089754.7172038145 |  O=CC=O  |  O1[C@H]2O[C@@H]12   |             57.298              |             7.5651              |          -49.733          |
| 1382693.1218528193 |  O=CC=O  |        O=C=CO        |             73.353              |             54.354              |          -18.999          |
| 1645368.4142147896 |  O=CC=O  |       O=C1CO1        |             54.877              |             51.753              |          -3.1236          |
| 1060153.8518664618 |  O=CC=O  |    O=C=C=O.[H][H]    |             76.886              |             35.939              |          -40.947          |
| 2150349.155007924  | O=C1CO1  |       C=C1OO1        |             68.816              |             24.434              |          -44.381          |
| 1766241.032825131  | O=C1CO1  |        O=C=CO        |             64.304              |             44.024              |          -20.28           |
| 1645369.7374385283 | O=C1CO1  |        O=CC=O        |             51.753              |             54.877              |          3.1236           |
| 2473302.8862033426 | O=C1CO1  |   O1[C@H]2O[C@H]12   |             84.941              |             50.038              |          -34.902          |
+--------------------+----------+----------------------+---------------------------------+---------------------------------+---------------------------+
