Well folks, I've got 83 reactions from HAA_depth2.pkl
And here they are!
+--------------------+-------------+--------------------------+
|   Reaction Hash    |  Reactant   |         Product          |
+--------------------+-------------+--------------------------+
| 1562673.284283097  |    O=CCO    |         C=O.C=O          |
| 1905743.232001659  |    O=CCO    |          COC=O           |
| 2107297.9154397324 |    O=CCO    |          C=COO           |
| 2409865.289214986  |    O=CCO    |          OC1CO1          |
| 1723512.1826500506 |    O=CCO    |         C=C=O.O          |
| 1965699.3133637556 |    O=CCO    |         CC(=O)O          |
| 2127341.145513862  |    O=CCO    |         O/C=C\O          |
| 1764795.0334897155 |    O=CCO    |      O=C=CO.[H][H]       |
| 1643919.3725672879 |    O=CCO    |      O=CC=O.[H][H]       |
| 2369441.659746829  |    O=CCO    |          C1COO1          |
| 2027467.9606149115 |    O=CCO    |      O=C1CO1.[H][H]      |
| 2289376.3465590323 |    COC=O    |          CC1OO1          |
| 1885527.7003958032 |    COC=O    |         CC(=O)O          |
| 1481313.9767127621 |    COC=O    |         C.O=C=O          |
| 1905748.1718194727 |    COC=O    |          O=CCO           |
|  1482500.98620748  |    COC=O    |         C=O.C=O          |
| 2329695.074699562  |    COC=O    |        O[C@H]1CO1        |
| 2209450.925914466  |    COC=O    |          C1OCO1          |
| 1947293.6562075908 |    COC=O    |      O=C1CO1.[H][H]      |
| 2107295.779766068  |    C=COO    |          O=CCO           |
| 2531240.9431222538 |    C=COO    |        O[C@H]1CO1        |
| 2490923.9552433845 |    C=COO    |          CC1OO1          |
| 2490815.562065761  |    C=COO    |          C1COO1          |
| 1926314.9528936574 |    C=COO    |          C#C.OO          |
| 1843466.1599197928 |    C=COO    |         C=C.O=O          |
| 1947400.230761197  |    C=COO    |       C#COO.[H][H]       |
| 1844889.5994952302 |    C=COO    |         C=C=O.O          |
| 2248820.5354507263 |    C=COO    |         C=C(O)O          |
| 2270273.8425085754 |    C=COO    |      C=C1OO1.[H][H]      |
| 2248714.6999217253 |    C=COO    |         O/C=C/O          |
| 2270165.763367619  |    C=COO    |      [H][H].c1coo1       |
| 2329688.0598863843 |   OC1CO1    |          COC=O           |
| 2713567.347774961  | O[C@@H]1CO1 |          C1OCO1          |
| 2551284.565379157  |   OC1CO1    |         O/C=C\O          |
| 2409864.2445826023 | O[C@H]1CO1  |          O=CCO           |
| 2793385.4275231925 | O[C@@H]1CO1 |          C1COO1          |
| 2531243.790812946  |   OC1CO1    |          C=COO           |
| 2551390.7569166725 |   OC1CO1    |         C=C(O)O          |
| 2389647.6303158803 | O[C@H]1CO1  |         CC(=O)O          |
| 2451411.1303493753 | O[C@H]1CO1  |      O=C1CO1.[H][H]      |
| 2793494.176709331  | O[C@H]1CO1  |          CC1OO1          |
| 2895797.2166408184 | O[C@H]1CO1  | O1[C@H]2O[C@@H]12.[H][H] |
| 1055415.4726991416 |    C=C=O    |           C#CO           |
| 1885524.868912597  |   CC(=O)O   |          COC=O           |
| 1541268.2598807588 |   CC(=O)O   |         C.O=C=O          |
| 1703293.4909250727 |   CC(=O)O   |         C=C=O.O          |
|  1965702.11095118  |   CC(=O)O   |          O=CCO           |
| 2107227.5499198623 |   CC(=O)O   |         C=C(O)O          |
| 2389647.274307366  |   CC(=O)O   |       O[C@@H]1CO1        |
| 2007247.939375588  |   CC(=O)O   |      O=C1CO1.[H][H]      |
| 2349330.629727029  |   CC(=O)O   |          CC1OO1          |
| 2127335.530239097  |   O/C=C/O   |          O=CCO           |
| 2551280.3415453588 |   O/C=C/O   |        O[C@H]1CO1        |
| 1946354.019074532  |   O/C=C\O   |          C#C.OO          |
| 1946167.8788641507 |   O/C=C/O   |          C#CO.O          |
| 2268857.5003085556 |   O/C=C/O   |         C=C(O)O          |
|  2248710.53602847  |   O/C=C\O   |          C=COO           |
| 1967169.750318108  |   O/C=C\O   |       OC#CO.[H][H]       |
| 1906207.7793780146 |   O/C=C\O   |      O=C=CO.[H][H]       |
| 2290203.8211114574 |   O/C=C\O   |      [H][H].c1coo1       |
| 1564791.032557476  |   O=C=CO    |          C#COO           |
| 1382692.8638256025 |   O=C=CO    |          O=CC=O          |
| 1766238.9089312716 |   O=C=CO    |         O=C1CO1          |
| 1181024.346582943  |   O=C=CO    |      O=C=C=O.[H][H]      |
| 1564519.9540913475 |   O=C=CO    |          OC#CO           |
| 1887562.8230665782 |   O=C=CO    |          c1coo1          |
| 1766693.1294352238 |   O=CC=O    |          c1coo1          |
| 2089754.7172038145 |   O=CC=O    |    O1[C@H]2O[C@@H]12     |
| 1382693.1218528193 |   O=CC=O    |          O=C=CO          |
| 1645368.4142147896 |   O=CC=O    |         O=C1CO1          |
| 1060153.8518664618 |   O=CC=O    |      O=C=C=O.[H][H]      |
| 1946195.513980668  |   C1COO1    |         C=O.C=O          |
| 2673145.453687654  |   C1COO1    |          C1OCO1          |
| 2105614.4872984323 |   C1COO1    |         C=C.O=O          |
| 2490820.145137303  |   C1COO1    |          C=COO           |
| 2753071.2225136617 |   C1COO1    |          CC1OO1          |
| 2532313.430220291  |   C1COO1    |      [H][H].c1coo1       |
| 2369445.1393479304 |   C1COO1    |          O=CCO           |
| 2793388.919188726  |   C1COO1    |        O[C@H]1CO1        |
| 2150349.155007924  |   O=C1CO1   |         C=C1OO1          |
| 1766241.032825131  |   O=C1CO1   |          O=C=CO          |
| 1645369.7374385283 |   O=C1CO1   |          O=CC=O          |
| 2473302.8862033426 |   O=C1CO1   |     O1[C@H]2O[C@H]12     |
+--------------------+-------------+--------------------------+
