zip_path,reactant_metal_oxidation_states,product_metal_oxidation_states
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C3DT50666E/c3dt50666e/17_0_1.zip,W4:6;W5:6;W6:6;W7:6;W8:6;W9:5;W10:6;W11:6;W12:6;W13:5;W14:6;Ru51:8,W4:6;W5:6;W6:6;W7:6;W8:6;W9:5;W10:6;W11:6;W12:6;W13:5;W14:6;Ru51:8
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C3DT50666E/c3dt50666e/11_1_2.zip,W4:6;W5:6;W6:6;W7:6;W8:6;W9:6;W10:6;W11:5;W12:6;W13:6;W14:6;Ru51:5,W4:6;W5:6;W6:6;W7:6;W8:5;W9:6;W10:6;W11:6;W12:6;W13:6;W14:5;Ru51:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C3DT50666E/c3dt50666e/32_0_1.zip,W4:5;W5:6;W6:6;W7:5;W8:6;W9:6;W10:5;W11:6;W12:6;W13:6;W14:5;Ru50:8,W4:5;W5:6;W6:6;W7:5;W8:6;W9:6;W10:5;W11:6;W12:6;W13:6;W14:5;Ru50:8
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C3DT50666E/c3dt50666e/33_-1_2.zip,W4:6;W5:6;W6:5;W7:6;W8:6;W9:6;W10:6;W11:6;W12:6;W13:6;W14:6;Ru50:5,W4:6;W5:6;W6:5;W7:6;W8:6;W9:6;W10:6;W11:6;W12:6;W13:6;W14:6;Ru50:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C3DT50666E/c3dt50666e/06_0_1.zip,Ru4:7;W6:6;W8:6;W10:6;W14:5;W16:6;W19:6;W23:6;W25:5;W27:5;W34:6;W39:6,Ru4:7;W6:6;W8:6;W10:5;W14:6;W16:6;W19:6;W23:6;W25:5;W27:5;W34:6;W39:6
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C7DT03200E/c7dt03200e1/41_0_1.zip,W0:6;W1:6;W2:6;W3:5;W4:6;W5:6;W6:6;W7:6;W8:5;W63:6;W64:5;W65:6;W66:6;W67:6;W68:5;W69:6;W70:6;W71:5,W0:6;W1:6;W2:6;W3:5;W4:6;W5:6;W6:6;W7:6;W8:6;W63:6;W64:6;W65:6;W66:6;W67:6;W68:6;W69:6;W70:5;W71:6
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acscatal.4c00304/cs4c00304_si_002/93_61-ts_0_1.zip,W0:4,W0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/jp9054439/jp9054439_si_001/19_0_1.zip,W5:4,W5:4
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP01820E/d1cp01820e1/44_0_2.zip,Co0:0,Co0:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP01820E/d1cp01820e1/01_0_2.zip,Co0:0,Co0:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP01820E/d1cp01820e1/33_-1_1.zip,Co0:1,Co0:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP01820E/d1cp01820e1/07_0_2.zip,Co0:0,Co0:0
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/D1CP01820E/d1cp01820e1/62_1_2.zip,Co0:2,Co0:2
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C9CY02562F/c9cy02562f1/74_0_1.zip,Co0:5,Co0:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1002/anie.202104320/anie202104320-sup-0001-misc_information/12_0_1.zip,Co0:1,Co0:1
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.8b00911/om8b00911_si_002/23_13-12-TSD_0_2.zip,Co0:4,Co0:3
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B302693K/b302693k/48_0_1.zip,Mn1:7,Mn1:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B302693K/b302693k/20_0_1.zip,Mn1:5,Mn1:7
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B302693K/b302693k/50_0_1.zip,Mn1:7,Mn1:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B302693K/b302693k/42_0_2.zip,Mn1:6,Mn1:7
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/B302693K/b302693k/22_0_1.zip,Mn1:7,Mn1:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C3SC53469C/c3sc53469c1/07_0_1.zip,Mn0:5,Mn0:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1021/acs.organomet.1c00606/om1c00606_si_002/13_Coordinates_for_the_transition_state_isomerization_12H_to_12_0_1.zip,Mn0:5,Mn0:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1002/chem.202303861/chem202303861-sup-0001-misc_information/81_0_1.zip,Mn61:7,Mn61:5
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C7NJ00295E/c7nj00295e1/17_0_1.zip,Cr3:6;Cr4:6,Cr3:6;Cr4:6
/scratch/negishi/li1724/SI-Downloads/SI_Agent/doi_zips_slim/10.1039/C7NJ00295E/c7nj00295e1/13_0_1.zip,Cr2:6;Cr3:6,Cr2:6;Cr3:6
