Metal,-3,-2,-1,0,1,2,3,4,5,6,Total
Sc,0,0,2,365,290,955,883,0,0,0,2495
Ti,2,2,11,267,409,1402,2426,10733,0,0,15252
V,12,8,16,277,412,600,683,945,1555,0,4508
Cr,2,0,1,1811,796,2298,3693,890,499,9347,19337
Mn,0,0,12,2062,2996,1150,1112,879,973,3477,12661
Fe,7,10,18,8334,7460,10807,5553,4279,1008,4224,41700
Co,17,9,36,4022,6139,4279,3523,984,912,1198,21119
Ni,87,56,75,8396,10112,11228,2445,1789,417,771,35376
Cu,174,235,322,7754,14520,4681,3008,622,575,207,32098
Zn,3,2,98,4851,1586,1548,103,155,1,117,8464
Y,0,0,0,327,263,398,396,0,0,0,1384
Zr,4,24,29,308,895,1017,3823,7596,0,0,13696
Nb,0,0,0,31,37,205,135,550,1086,0,2044
Mo,0,0,2,308,1474,1201,11330,4858,4194,9348,32715
Tc,12,5,4,87,18,46,22,31,141,54,420
Ru,11,6,8,2882,4744,7387,3508,5242,940,3918,28646
Rh,66,23,703,4714,8570,8381,11425,1699,2643,1534,39758
Pd,152,126,153,14989,16075,25275,4029,4630,800,1720,67949
Ag,0,44,154,1826,2417,854,765,108,65,39,6272
Cd,0,0,5,78,33,28,14,36,17,23,234
Hf,0,0,0,16,46,391,178,879,0,0,1510
Ta,1,2,4,35,61,142,309,473,1455,0,2482
W,0,1,4,744,250,532,212,703,2650,12810,17906
Re,0,1,5,563,361,242,386,211,725,802,3296
Os,1,3,1,190,303,508,376,707,231,430,2750
Ir,5,5,28,1276,3502,3883,4854,1606,1026,947,17132
Pt,66,109,103,1628,1798,4771,1042,1427,179,241,11364
Au,22,185,255,8012,5919,3379,1702,325,138,91,20028
Hg,0,0,13,166,37,127,25,2,0,0,370
